entidad,tipo_entidad
Fray Tormenta,ser humano
María del Rosario Espinoza Espinoza,ser humano
Anthony Quinn,ser humano
Rudolf Jan Slaby,ser humano
Salvador de Iturbide y Marzán,ser humano
Eduardo Fentanes,ser humano
Sabine Moussier,ser humano
Olga Costa,ser humano
Alberto Del Rio,ser humano
María Santos Gorrostieta Salazar,ser humano
Óscar Dautt,ser humano
Sergio Pérez,ser humano
Ximena Navarrete,ser humano
Dulce María Sauri Riancho,ser humano
Dolores Heredia,ser humano
Giselle Itié,ser humano
Felipe Colombo,ser humano
Elsa Benítez,ser humano
Cara Buono,ser humano
Laura Sánchez Soto,ser humano
María Rojo,ser humano
Lázaro Cárdenas,ser humano
Elizabeth Catlett,ser humano
Enrique Peña Nieto,ser humano
Lola Beltrán,ser humano
Marga López,ser humano
Horacio López Salgado,ser humano
Samadhi Zendejas,ser humano
Dr. Atl,ser humano
Edith Márquez,ser humano
Bernardo Gutiérrez de Lara,ser humano
Martín Luis Guzmán,ser humano
Lupe Vélez,ser humano
Felipe Arriaga,ser humano
Lupe Jones,ser humano
Inés Efron,ser humano
Luz María Aguilar,ser humano
Édgar García de Dios,ser humano
Margo Glantz,ser humano
Jessica Coch,ser humano
Cesáreo Victorino Mungaray,ser humano
Lydia Cacho,ser humano
Felipe Buergo Elcuaz,ser humano
Edith González,ser humano
Antonio Carbajal,ser humano
Eduardo Capetillo,ser humano
Alberto Valdés Ramos,ser humano
Laurette Séjourné,ser humano
Élmer Mendoza,ser humano
Carmen Romero Rubio,ser humano
Yolanda Ramírez,ser humano
Óscar Rojas Castellón,ser humano
Óscar Bonfiglio,ser humano
Óscar E. Duplán Maldonado,ser humano
Óscar González César,ser humano
Óscar Osvaldo García Montoya,ser humano
Oscar Pérez Rojas,ser humano
Óscar Salazar Blanco,ser humano
Óscar Valdez,ser humano
Óscar de la Hoya,ser humano
