entidad	instancia_de	subclase_de
obispo diocesano	cargo eclesiástico, función episcopal	obispo, pastor, ordinario, clérigo diócesano, cabeza de una diócesis
Comandante de la Orden Nacional de la Legión de Honor	grado de una orden	comendador
velocista	profesión, disciplina deportiva	corredor
lanzador de martillo	profesión	atleta
saltador	profesión	deportista
México	asentamiento	
Premio Xavier Villaurrutia	premio literario	
Secretario de Vivienda y Desarrollo Urbano de los Estados Unidos	cargo	ministro de Vivienda
Jiguaní	ciudad, municipio de Cuba	
beisbolista	profesión	deportista, jugador competitivo
lanzador de jabalina	ocupación	atleta
actor de teatro	oficio del teatro	actor, theatre maker
científico	profesión, cargo	investigador, erudito
Corte Permanente de Arbitraje	organización intergubernamental, tribunal	
San José de las Lajas	ciudad, municipio de Cuba	
guitarrista bajo	ocupación, profesión musical	bajista, guitarrista
Dio	banda de heavy metal	
La Lupe	ser humano	
Amadeo Roldán	ser humano	
Amadito Valdés	ser humano	
Joel Lamela	ser humano	
Violetta Quesada	ser humano	
Aleida Guevara	ser humano	
Anay Tejeda	ser humano	
Oswaldo Payá	ser humano	
Celia Sánchez	ser humano	
Haydée Santamaría	ser humano	
Nancy Carrillo	ser humano	
José Ángel César	ser humano	
Freddy Mayola	ser humano	
Dora Alonso	ser humano	
Dulce María Loynaz	ser humano	
Álvaro Julio Beyra Luarca	ser humano	
Rita Montaner	ser humano	
Alfredo Duvergel	ser humano	
Manuel Urrutia Lleó	ser humano	
Rita Marley	ser humano	
Real Conservatorio Superior de Música de Madrid	organización, Conservatorio Superior de Música	
percusionista	ocupación, profesión musical	instrumentalista
Nuevitas	ciudad, municipio de Cuba	
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
El Cerro	municipio de Cuba	
Premio Sájarov	premio de derechos humanos	
Media Luna	ciudad, municipio de Cuba	
La Lisa	municipio de Cuba	
Tierra inerme	obra literaria	
Premio Casa de las Américas	premio literario	
Guanabacoa	asentamiento, municipio de Cuba	
pianista	cargo, ocupación, profesión musical	tecladista
Conservatorio Carlos Alfredo Peyrellade	conservatorio de música	
Yaguajay	municipio de Cuba	
juez	propiedad de Wikidata relacionada con el derecho y la justicia	
I Threes	grupo musical	
Alejo Carpentier	ser humano	
Mirta Yáñez	ser humano	
Aliuska López	ser humano	
Gloria Estefan	ser humano	
María Teresa de Luxemburgo	ser humano	
Yipsi Moreno	ser humano	
Alicia Alonso	ser humano	
Anaïs Nin	ser humano	
Zoraida Morales	ser humano	
Zoé Valdés	ser humano	
Zulia Calatayud	ser humano	
Danay García	ser humano	
Magaly Carvajal	ser humano	
Andy García	ser humano	
Javier Sotomayor	ser humano	
Ricardo Wolf	ser humano	
Osleidys Menéndez	ser humano	
Yargelis Savigne	ser humano	
Alberto Korda	ser humano	
María Caridad Colón	ser humano	
Lausana	obra escrita	
musicólogo	profesión musical	académico de humanidades
El reino de este mundo	obra literaria	
Sangra por la herida	obra literaria	
Miami Sound Machine	grupo musical	
aristócrata	clase social, ocupación	persona que tiene una actividad
Luxemburgo	país, Estado sin litoral, Gran Ducado, Estado unitario, estado soberano, estado de la Confederación Germánica	
Universidad de Ginebra	organización, comprehensive university, editor de acceso abierto, universidad pública de investigación	
Gran Duquesa Consorte de Luxemburgo	cargo	
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
Escuela de Ballet estadounidense	organización sin fines de lucro, escuela de ballet	
Giselle	obra dramático-musical	
Neuilly-sur-Seine	comuna francesa	
autobiógrafo	ocupación	biógrafo
Academia Estadounidense de las Artes y las Letras	academia de ciencias, distinción	
Premio Azorín	premio literario	
mediofondista	profesión	corredor
director de cine	profesión, profesión del cine	artista visual, profesional del cine, realizador, miembro del equipo de filmación
Universidad Internacional de Florida	universidad pública, institución educativa pública de los Estados Unidos	
Estrella del Paseo de la Fama de Hollywood		distinción, placa conmemorativa
Limonar	municipio de Cuba	
saltador de altura	profesión	atleta
Premio Princesa de Asturias de los Deportes	premio deportivo, categoría de un premio	
Hannover	Kreisstadt, gran ciudad, special municipality association of Germany, capital de estado federado, municipio urbano de Alemania	
emprendedor	profesión, estatus legal	personalidad jurídica, economic entity
Alemania	país, estado soberano	
Martí	municipio de Cuba	
fotógrafo	ocupación, agente	artista visual
Guerrillero Heroico	fotografía	
Baracoa	municipio de Cuba	
Xavier Cugat	ser humano	
Eulogio Cantillo	ser humano	
Héctor Milián	ser humano	
Arturo Sandoval	ser humano	
Alexander Martínez	ser humano	
Eduardo Chibás	ser humano	
Luis Manuel Rodríguez	ser humano	
Luis Felipe Martínez	ser humano	
Guillermo Moncada	ser humano	
Fernando Pérez Valdés	ser humano	
Jesús Díaz	ser humano	
Michel López Núñez	ser humano	
Pedro Pablo Pérez	ser humano	
Nicolás Guillén	ser humano	
Manny Diaz	ser humano	
Adam Rodríguez	ser humano	
Gil Cordovés	ser humano	
Arnold Alcolea	ser humano	
Reynaldo Vera González-Quevedo	ser humano	
Adelquis Remón Gay	ser humano	
Ciudad de Gerona	ciudad, gran ciudad, entidad singular de población, capital de municipio, ente local histórico de Cataluña	
Xavier Cugat & His Waldorf-Astoria Orchestra	grupo musical	
Creu de Sant Jordi	cruz de término	
luchador	ocupación	luchador
Artemisa	deidad lunar, deidad griega, dios olímpico	
Medalla Presidencial de la Libertad	condecoración civil	medalla
Isla de la Juventud	isla, municipio de Cuba, división administrativa de primer nivel	
Suiza	país, Estado, federación, Estado sin litoral, confederación, estado soberano	
senador de la República	cargo	senador
Premio Nacional de Cine de Cuba	distinción	
ciclista	subcultura, ocupación	deportista, ciclista
Orden de la Bandera Roja del Trabajo	orden, socialist order of merit, condecoración civil	
Yonkers	ciudad del estado de Nueva York	
Unión de Reyes	municipio de Cuba	
autor	"propiedad de Wikidata para indicar una fuente, propiedad de Wikidata usada como calificador de ""muestra"" (P180) en Commons, Wikidata property to identify contributors to creative works"	
Rafael Freyre	ciudad, municipio de Cuba	
Agustín Acosta Bello	ser humano	
Manuel Márquez Sterling	ser humano	
Eliel Lazo	ser humano	
George J. Borjas	ser humano	
Silvio Rodríguez	ser humano	
Argeliers León	ser humano	
Ramón Castro Ruz	ser humano	
Guillermo Fariñas	ser humano	
Arnaldo Tamayo Méndez	ser humano	
Flores Chaviano	ser humano	
Adolfo Horta	ser humano	
Gerardo Machado	ser humano	
José Lezama Lima	ser humano	
