entidad	instancia_de	subclase_de
Anselmo Moreno	ser humano	
Ricardo Martinelli	ser humano	
Manuel Solís Palma	ser humano	
Marco Aurelio Robles	ser humano	
José Ramón Guizado Valdés	ser humano	
Ernesto Pérez Balladares	ser humano	
Alcibíades Arosemena	ser humano	
José María Pinilla	ser humano	
José Domingo De Obaldía	ser humano	
José Antonio Remón Cantera	ser humano	
Roberto F. Chiari	ser humano	
Pablo Arosemena Alba	ser humano	
Demetrio Basilio Lakas	ser humano	
Ricardo de la Espriella	ser humano	
Carlos Rivera	ser humano	
Tony Taylor	ser humano	
Estados Unidos de Colombia	federación, estado desaparecido	
lingüista	profesión, ocupación, profesión académica	filólogo, language specialist
Panamane	lengua construida	
Italia	país, estado soberano	
Universidad de Arkansas	Universidad de concesión de tierras, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Orden del Imperio británico	distinción, orden de caballería, título honorífico	sistema de honores británico
Collar de la Orden de Isabel la Católica	grado de una orden	collar
Universidad del Rosario	universidad privada, editor de acceso abierto	
Universidad Tecnológica de Texas	institución educativa pública de los Estados Unidos, universidad pública de investigación	
Long Beach	ciudad de Estados Unidos, gran ciudad, ciudad chárter	
Davis Romero	ser humano	
Ricardo Clarke	ser humano	
Balbina Herrera	ser humano	
Armando Gun	ser humano	
Rubén Douglas	ser humano	
Irving Saladino	ser humano	
Ramón Maximiliano Valdés	ser humano	
Pedro Antonio Díaz	ser humano	
Ricardo Arias Espinosa	ser humano	
Jorge Dely Valdés	ser humano	
Manuel Noriega	ser humano	
Nicolás Ardito Barletta Vallarino	ser humano	
Carlos Garnett	ser humano	
Jordana Brewster	ser humano	
Mireya Moscoso	ser humano	
Alfredo Layne	ser humano	
Rosa María Britton	ser humano	
Martín Torrijos Espino	ser humano	
Vicente Mosquera	ser humano	
Rolando Blackman	ser humano	
Provincia de Coclé	provincia de Panamá	
Pasadena	ciudad de Estados Unidos, gran ciudad	
Universidad de Arizona	Universidad de concesión de tierras, universidad pública, institución educativa pública de los Estados Unidos, editor de acceso abierto	
saltador de longitud	profesión	atleta
Washington D. C.	capital federal	
Edmund A. Walsh School of Foreign Service	college, escuela de relaciones internacionales	
Instituto del Hemisferio Occidental para la Cooperación en Seguridad	escuela, escuela militar	
Comandante de la Orden Nacional de la Legión de Honor	grado de una orden	comendador
Zona del Canal de Panamá	territorio no incorporado de los Estados Unidos	
Universidad Yale	universidad privada, Colegios coloniales, empresa productora, universidad de investigación, institución educativa privada sin fines de lucro, editorial académica	
Pedasí	Distritos de Panamá	
Miami Dade College	college, institución educativa pública de los Estados Unidos	
Chimán	Comunidad de Panamá	
Universidad de Texas A&M	universidad, Universidad de concesión de tierras, United States senior military college, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Universidad Estatal de Kansas	Universidad de concesión de tierras, universidad pública, institución educativa pública de los Estados Unidos	
Diego Castillo	ser humano	
Dominador Baldomero Bazán	ser humano	
Dora Boyd de Pérez Balladares	ser humano	
Earl Agnoly	ser humano	
Ed Acosta	ser humano	
Eddie Castro	ser humano	
Eddy Lover	ser humano	
Édgar Crespo	ser humano	
Eduardo Arias	ser humano	
Edward Gaskin	ser humano	
Eileen Coparropa	ser humano	
Einar Díaz	ser humano	
El Roockie	ser humano	
Eliécer Ellis	ser humano	
Elvis Trujillo	ser humano	
Emita Arosemena	ser humano	
Engie Mitre	ser humano	
Enrique Burgos	ser humano	
Enrique Geenzier	ser humano	
Eric Herrera	ser humano	
Bajo Boquete (corregimiento de Boquete)	villa, Comunidad de Panamá	
Ustupu	asentamiento	
funcionario	profesión, alto cargo, cargo	persona jurídica, burócrata, alto cargo, empleado público
Chris Warren	ser humano	
Arístides Royo	ser humano	
Jorge Illueca	ser humano	
Lloyd LaBeach	ser humano	
Juan Demóstenes Arosemena	ser humano	
Harmodio Arias Madrid	ser humano	
Ernesto de la Guardia	ser humano	
Eusebio Pedroza	ser humano	
Rodolfo Chiari	ser humano	
Ezequiel Fernández Jaén	ser humano	
Ernesto Tisdel Lefevre	ser humano	
Eric Arturo Delvalle	ser humano	
Audilio Aguilar Aguilar	ser humano	
Alberto Quintero Medina	ser humano	
Augusto Samuel Boyd	ser humano	
Luis Moreno	ser humano	
Bayano Kamani	ser humano	
Big Fletchit	ser humano	
Bruce Chen	ser humano	
Garland	ciudad de Estados Unidos, gran ciudad	
Universidad de Carolina del Sur	universidad pública, universidad de investigación, institución educativa pública de los Estados Unidos	
Universidad de Bolonia	universidad pública, editor de acceso abierto	
Universidad Harvard	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Organización de las Naciones Unidas	organización intergubernamental, organización internacional	
velocista	profesión, disciplina deportiva	corredor
Escuela de Economía y Ciencia Política de Londres	institución educativa universitaria, organización educativa, universidad pública de investigación	
Dartmouth College	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro, editor de acceso abierto	
Caballero de Gran Cruz con collar de la Orden al Mérito de la República Italiana	grado de una orden	collar, Caballero Gran Cruz de la Orden al Mérito de la República Italiana, Gran Cruz con Collar
Gran Cruz de la Orden El Sol del Perú	grado de una orden	Gran Cruz
embajador	rango diplomático, título de autoridad, cargo	jefe de misión, plenipotenciario
Universidad Estatal de Luisiana	Universidad de concesión de tierras, universidad pública, universidad de investigación, institución educativa pública de los Estados Unidos	
