entidad	instancia_de	subclase_de
San Mateo	ser humano, personaje humano bíblico	
México	asentamiento	
Remedios	página de desambiguación de Wikimedia	
hora	unidad de tiempo, unidades que no forman parte del SI pero se mencionan y aceptan, unidad derivada en UCUM, unidad no SI aceptada por el SI	intervalo de tiempo
Escuela de Economía y Ciencia Política de Londres	institución educativa universitaria, organización educativa, universidad pública de investigación	
Nobsa	municipio de Colombia	
Néider Morantes	ser humano	
Wilber Varela	ser humano	
Antonio Bayter Abud	ser humano	
Carlos Camacho	ser humano	
Camilo Fernando Castrellón Pizano	ser humano	
Antonio Cervantes	ser humano	
Edgar Aristizábal Quintero	ser humano	
Antonio María Valencia	ser humano	
Niver Arboleda	ser humano	
Rolando Serrano	ser humano	
Gustavo Adolfo Bolívar	ser humano	
Julio Enrique Prado Bolaños	ser humano	
Fabio Hernán Rodríguez	ser humano	
Antonio Ungar	ser humano	
Antonio Alvarez Lleras	ser humano	
Marcos Coll	ser humano	
Jaime Osorio	ser humano	
Alberto Camargo	ser humano	
Oswaldo Henríquez	ser humano	
Jámison Olave	ser humano	
Roldanillo	municipio de Colombia	
narcotraficante	ocupación	contrabandista
San Basilio de Palenque	centro poblado	
Schola Cantorum de París	academia de música	
Preludio	página de desambiguación de Wikimedia	
Cumbal	página de desambiguación de Wikimedia	
Cogua	municipio de Colombia	
Viterbo	comuna de Italia	
Defensor del año de la Major League Soccer	distinción	
Jhon García	ser humano	
Diego Osorio	ser humano	
Wilson Pérez	ser humano	
Rafael Uribe Uribe	entidad territorial administrativa, localidad	
Edison Mafla	ser humano	
Harrison Otálvaro	ser humano	
Gustavo Martínez Frías	ser humano	
Ener Julio	ser humano	
Paola Ampudia	ser humano	
Belarmino Correa Yepes	ser humano	
Margarita Rosa de Francisco	ser humano	
Bernardo Romero Lozano	ser humano	
Kike Santander	ser humano	
José Torres Cadena	ser humano	
Catalina Castaño	ser humano	
Bill Lynn	ser humano	
Andrés Rentería	ser humano	
Gabriel París	ser humano	
Blas Emilio Atehortúa	ser humano	
Valparaíso	poder legislativo, gran ciudad, asentamiento portuario, ciudad de Chile	
voleibolista	profesión	deportista, jugador competitivo
Universidad de Misuri	Universidad de concesión de tierras, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Briceño	página de desambiguación de Wikimedia	
Premio Grammy latino por mejor canción tropical	Premios Grammy Latinos, categoría de un premio	
baterista	ocupación, profesión musical	percusionista
Colegio de Comando y Estado Mayor General del Ejército de los Estados Unidos	escuela de guerra	
Helmut Bellingrodt	ser humano	
Cien años de soledad	obra literaria	
Gustavo Rojas	ser humano	
Juan Gabriel Vásquez	ser humano	
Crisanto Luque Sánchez	ser humano	
Juan Carlos Henao	ser humano	
Pompín Iglesias	ser humano	
Iván Ríos	ser humano	
Carlos Vives	ser humano	
J Balvin	ser humano	
Freddy Montero	ser humano	
Nemesio Camacho Macías	ser humano	
Eliseo Payán	ser humano	
David González	ser humano	
Erwin Carrillo	ser humano	
Luis Alberto Moreno	ser humano	
Víctor Hugo Montaño	ser humano	
Guillermo Owen	ser humano	
Alexis Mendoza	ser humano	
Wason Rentería	ser humano	
Estanislao Zuleta	ser humano	
Gabriel Chaves	ser humano	
Jaime Castrillón	ser humano	
traductor	propiedad de Wikidata para elementos sobre obras	
El ruido de las cosas al caer	obra literaria	
Putumayo	departamento de Colombia	
Premio Grammy Latino a la grabación del año	categoría de un premio	premio de música
Premio Grammy Latino al mejor álbum de música urbana	categoría de un premio	premio al mejor álbum (por género)
Campo de la Cruz	municipio de Colombia	
Subachoque	municipio de Colombia	
Ferrocarril del Pacífico	empresa ferroviaria	
Filadelfia	comuna de Italia	
Universidad Atlántica de Florida	universidad, institución educativa pública de los Estados Unidos	
matemático	profesión, ocupación, grupo de ocupaciones de la CIUO	científico, mathematicians, actuaries and statisticians
Universidad de Princeton	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro, editorial académica	
Universidad de Fordham	universidad privada, institución educativa privada sin fines de lucro	
Municipio de Medellín	municipio de México	
