entidad	instancia_de	subclase_de
Laureles	lugar designado por el censo en los Estados Unidos	
militante de la resistencia	ocupación	rebelde, activista político
Vanguardia Popular Revolucionaria	organización política	
sacerdote	ocupación religiosa	clérigo
lingüista	profesión, ocupación, profesión académica	filólogo, language specialist
ciclista	subcultura, ocupación	deportista, ciclista
Chile	país, nación, país transcontinental, estado soberano, república democrática	
Marcos Riveros	ser humano	
Mario César Ramírez	ser humano	
Mario RuizDíaz	ser humano	
Mauro Andrés Caballero	ser humano	
Miguel Cáceres	ser humano	
Miguel Medina	ser humano	
Miguel Ortega	ser humano	
Miguel Ángel Martínez Ovelar	ser humano	
Milner Ayala	ser humano	
Nelson Romero	ser humano	
Nery Antonio Cardozo	ser humano	
Néstor Isasi	ser humano	
Omar Espineda	ser humano	
Oreste Sallustro	ser humano	
Oscar Basualdo	ser humano	
Pablo Benítez	ser humano	
Pedro Fernández Cantero	ser humano	
Pedro Franco	ser humano	
Pedro Richard Irala	ser humano	
Ramón Carosini	ser humano	
Itajubá	municipio de Brasil	
entrenador de fútbol sala	profesión	entrenador
Ramón Mayeregger	ser humano	
Raúl Cáceres	ser humano	
Ricardo Mazacotte	ser humano	
Richard Salinas	ser humano	
Robin Ramírez	ser humano	
Rolando García Guerreño	ser humano	
Rubén Maldonado	ser humano	
Salvador Villalba	ser humano	
Saturnino Arrúa Molinas	ser humano	
Sergio Vergara	ser humano	
Sharlene Wells Hawkes	ser humano	
Silvio Garay	ser humano	
Silvio Torales	ser humano	
Silvio Suárez	ser humano	
Tomás Bobadilla	ser humano	
Tomás Bartomeus	ser humano	
Vidal Sanabria	ser humano	
Virginio Cáceres	ser humano	
Víctor Ayala	ser humano	
Víctor López	ser humano	
Formosa	ciudad, municipio, gran ciudad, municipio de Argentina	
