entidad	instancia_de	subclase_de
diplomático	profesión, título corporativo	estadista, alto cargo
Organización de las Naciones Unidas	organización intergubernamental, organización internacional	
artista	ocupación, profesión artística	creador
Escuela Nacional Superior Autónoma de Bellas Artes del Perú	universidad, academia de bellas artes	
Gran Oficial de la Orden El Sol del Perú	grado de una orden	gran oficial
ministro de Justicia y Derechos Humanos del Perú	cargo	ministro de Justicia
arquitecto	propiedad de Wikidata relacionada con la arquitectura, Wikidata property to identify contributors to works or products	
Universidad de Miami	universidad, institución educativa privada sin fines de lucro	
Piura	ciudad, gran ciudad	
alcalde de Trujillo	cargo	alcalde
Viena	ciudadEstado, enclave, metrópoli, capital federal, estado de Austria, ciudad estatutaria de Austria, gemeinde de Austria, distrito de Austria, lugar con derechos de ciudad y privilegios, ciudad más grande	
Austria	país, república, Estado sin litoral, estado soberano, estado de derecho, estado sucesor	
Bellavista	página de desambiguación de Wikimedia	
Tarma	provincia del Perú	
El Tambo	municipio de Colombia	
animador	propiedad de Wikidata relacionada con la animación	
Colegio Nacional Pedro A. Labarthe	colegio emblemático	
Play Button de Plata	categoría de un premio	
Club Sporting Cristal	club de fútbol, club polideportivo	
Caballero de la Orden Nacional de la Legión de Honor	grado de una orden	caballero
Distrito de Jesús	distrito de Perú	
Alfredo Bryce Echenique	ser humano	
Iván Miranda Chang	ser humano	
Jaime Bayly	ser humano	
Celso GarridoLecca	ser humano	
Jorge Eduardo Eielson	ser humano	
Rinaldo Cruzado	ser humano	
Alonso Cueto	ser humano	
José Luis Granda Bravo	ser humano	
Roberto Jiménez Jiménez	ser humano	
Julio Granda	ser humano	
Leao Butrón	ser humano	
Orestes Rodríguez	ser humano	
Claudia Zornoza	ser humano	
Jorge Cori Tello	ser humano	
José Watanabe	ser humano	
Jaime Yzaga	ser humano	
Sergio Bambarén	ser humano	
Manuel Ignacio de Vivanco	ser humano	
Salomón Lerner Ghitis	ser humano	
Daniel Alomía Robles	ser humano	
Universidad de París 8	EPSCP	
Universidad de París X Nanterre	universidad en Francia	
tenista	profesión	deportista, jugador competitivo
Premio San Clemente RosalíaAbanca de novela española	premio literario	
Universidad de Chile	estación de metro, estación subterránea	
Camaná	ciudad, asentamiento	
entrenador de tenis	profesión	entrenador
novelista	profesión	escritor
Universidad de Texas A&M	universidad, Universidad de concesión de tierras, United States senior military college, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Technion  Instituto Tecnológico de Israel	universidad, editorial	
Huánuco	página de desambiguación de Wikimedia	
El cóndor pasa…	obra dramáticomusical	
Jorge Basadre	ser humano	
Miguel Grau	ser humano	
