entidad	instancia_de	subclase_de
Universidad Pepperdine	lugar designado por el censo en los Estados Unidos, universidad privada, institución educativa privada sin fines de lucro, editor de acceso abierto	
Sicuani	ciudad	
Chile	país, nación, país transcontinental, estado soberano, república democrática	
Pedro Pablo Kuczynski	ser humano	
Immortal Technique	ser humano	
Luis Horna	ser humano	
Emilio Córdova	ser humano	
Hernando de Soto	ser humano	
Jorge del Castillo	ser humano	
Víctor Benítez	ser humano	
Tania Libertad	ser humano	
Vanessa Jerí	ser humano	
Manuela Sáenz	ser humano	
Luisa María Cuculiza	ser humano	
John Galliquio	ser humano	
Gilberto Hidalgo	ser humano	
Santiago Acasiete	ser humano	
Javier Pulgar Vidal	ser humano	
Nolberto Solano	ser humano	
Agustín Gamarra	ser humano	
Lolo Fernández	ser humano	
Víctor Raúl Haya de la Torre	ser humano	
Titu Cusi Yupanqui	ser humano	
Banco Central de Reserva del Perú	banco central, organismo constitucional autónomo	
rapero	ocupación, profesión musical	vocalista, músico de hiphop
alcalde	cargo público, cargo elegido	alcalde, alto cargo
Premio Grammy Latino a la Excelencia Musical	Premios Grammy Latinos	
presentador de televisión	cargo, ocupación mediática	actor, celebridad, presentador, profesional de medios, periodista de televisión, personalidad televisiva, presentador de programa
Provincia de Ambo	provincia del Perú	
Colegio Sagrados Corazones Belén	escuela privada, escuela católica	
Departamento de Huánuco	departamento de Perú, entidad administrativa desaparecida	
geógrafo	profesión	científico de la Tierra
Colegio San Francisco de Asís	escuela privada	
San Vicente de Cañete	ciudad	
Juan Ramón Koenig	ser humano	
Malinas	municipio de Bélgica, municipio con título de ciudad	
Telésforo Ramos	ser humano	
Guido Breña	ser humano	
Richard Daniel Alarcón Urrutia	ser humano	
Guillermo Abanto Guzmán	ser humano	
Gustavo Salazar	ser humano	
Silvana Pacheco Gallardo	ser humano	
Enrique Ciriani	ser humano	
Henry Urday Cáceres	ser humano	
Pedro SuárezVértiz	ser humano	
Roger Soler	ser humano	
Víctor Hugo Rivera	ser humano	
Héctor Boza	ser humano	
Miguel Cabrejos Vidarte	ser humano	
Raimundo Revoredo Ruiz	ser humano	
Rajmil Fischman	ser humano	
José Antonio Eguren	ser humano	
Francisco Boza	ser humano	
Octavio Ortiz Arrieta	ser humano	
Mario Cornejo	ser humano	
Valeria Rivero	ser humano	
Distrito de Huarmaca	distrito de Perú	
Puquio	ciudad	
