entidad	instancia_de	subclase_de
Universidad de San Buenaventura	universidad, institución educativa privada sin fines de lucro	
obispo titular	cargo, cargo eclesiástico, función episcopal, vocación católica	obispo católico
Distrito Metropolitano de Quito	cantón de Ecuador	
Gran Cruz de la Orden El Sol del Perú	grado de una orden	Gran Cruz
Jorge Carrera Andrade	ser humano	
Jorge Gallegos	ser humano	
Jorge Luis Montenegro	ser humano	
José Ayala Lasso	ser humano	
José Bone	ser humano	
José Victoriano Naranjo Tovar	ser humano	
Víctor Maldonado Barreno	ser humano	
Juan Alfredo Arzube	ser humano	
Hermenegildo José Torres Asanza	ser humano	
María Capovilla	ser humano	
Leo Rojas	ser humano	
Luis Felipe Carbo y Amador	ser humano	
Hugolino Cerasuolo Stacey	ser humano	
Sebastián Terán	ser humano	
Pablo Palacio	ser humano	
Iván Vallejo	ser humano	
Jaime Hurtado	ser humano	
Manuel Antonio Valarezo Luzuriaga	ser humano	
Joaquín Pereira Becerra	ser humano	
José Gabriel Díaz Cueva	ser humano	
historiador	profesión	académico de humanidades
Mademoiselle Satán	obra literaria	
Cotopaxi	página de desambiguación de Wikimedia	
Cantón Alausí	cantón de Ecuador	
Pontificia Universidad Antonianum	universidad pontificia	
El Oro	provincia de Ecuador	
ama de casa	ocupación	mujer, esposa, amo de casa, stay-at-home parent
músico	ocupación, profesión musical	artista
Un hombre muerto a puntapiés	obra literaria	
montañero	profesión, ocupación	deportista
Cantón Quinindé	cantón de Ecuador	
Unión General de Trabajadores del Ecuador	sindicato de trabajadores	
Galo Plaza Lasso	ser humano	
Jorge Enrique Adoum	ser humano	
Vicente Rocafuerte	ser humano	
Camilo Ponce Enríquez	ser humano	
José María Urbina y Viteri	ser humano	
Fidel Martínez	ser humano	
Carlos Arroyo del Río	ser humano	
Luis Cordero Crespo	ser humano	
Bolívar Echeverría	ser humano	
Boris Cepeda	ser humano	
Luis Humberto Salgado	ser humano	
Carlos Freile Larrea	ser humano	
Jackson Quiñónez	ser humano	
Alberto Spencer	ser humano	
Diego Calderón	ser humano	
Miguel Olvera	ser humano	
Alfredo Vera Arrata	ser humano	
Carlos Góngora	ser humano	
Rafael Pólit	ser humano	
Leónidas Plaza Gutiérrez	ser humano	
Nueva York	página de desambiguación de Wikimedia	
Universidad de California en Berkeley	Universidad de concesión de tierras, biblioteca de depósito de las Naciones Unidas, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Universidad de Santiago de Chile	universidad, editor de acceso abierto	
Vasija de barro	obra de composición musical	
francmasonería	grupo social, hermandad	
Cantón Shushufindi	cantón de Ecuador	
Cantón Déleg	cantón de Ecuador	
economista	profesión, grupo de ocupaciones de la CIUO	científico social, profesionales sociales y religiosos
México	país, estado soberano	
Universidad Nacional Autónoma de México	universidad, editor de acceso abierto, universidad pública de investigación	
Alemania	país, estado soberano	
Universidad de Münster	Registrador de Internet Local, universidad pública, comprehensive university	
concejal del Ayuntamiento de Lérida	cargo público	concejal
Ancón	asentamiento, parroquia rural de Ecuador	
diplomático	profesión, título corporativo	estadista, alto cargo
Guayas	provincia de Ecuador	
arquitecto	propiedad de Wikidata relacionada con la arquitectura, Wikidata property to identify contributors to works or products	
Charapotó	parroquia rural de Ecuador	
Ivo Ron	ser humano	
Edson Montaño	ser humano	
Joao Plata	ser humano	
Gabriel Achilier	ser humano	
Geovanny Nazareno	ser humano	
Oswaldo Minda	ser humano	
Bernardo de Legarda	ser humano	
Jimmy Montanero	ser humano	
Alfredo Baquerizo Moreno	ser humano	
Julio Castillo	ser humano	
Marlo Delgado	ser humano	
Carlos Sánchez	página de desambiguación de nombres humanos	
Anderson Rojas	ser humano	
William Araujo	ser humano	
Pedro Carbo	ciudad	
Diego Ferrín	ser humano	
Olga Álava	ser humano	
Jimmy Izquierdo	ser humano	
Fricson George	ser humano	
Moisés Candelario	ser humano	
Real Audiencia de Quito	real audiencia, estado desaparecido	
