entidad	instancia_de	subclase_de
Provincia de Tungurahua	provincia de Ecuador	
Kingston	ciudad	
ajedrecista	profesión	deportista, abstract game player, chess person, jugador de juego de tablero
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
participante en concursos de belleza	ocupación	animador, modelo, concursante
badmintonista	profesión	deportista, jugador competitivo
San Gabriel	municipio de Filipinas	
Cariamanga	ciudad	
Babahoyo	ciudad	
Aminta Buenaño	ser humano	
Roberto Mina	ser humano	
Antonio Flores Jijón	ser humano	
Damián Díaz	ser humano	
Otilino Tenorio	ser humano	
Néicer Reasco	ser humano	
Jorge Velarde	ser humano	
Marlon Ayoví	ser humano	
Renato Ibarra	ser humano	
Geovanny Caicedo	ser humano	
Edwin Tenorio	ser humano	
Jhonny Caicedo	ser humano	
Félix Borja	ser humano	
Auki Tituaña	ser humano	
Raúl Eduardo Vela Chiriboga	ser humano	
Christian Lara	ser humano	
José María Velasco Ibarra	ser humano	
Jaime Roldós Aguilera	ser humano	
Patricio Urrutia	ser humano	
León Roldós Aguilera	ser humano	
Santa Lucía	página de desambiguación de Wikimedia	
Rosario	municipio de Filipinas	
Argentina	país, nación, república federal, estado soberano, estado confesional	
Cotacachi	página de desambiguación de Wikimedia	
Universidad de La Habana	universidad pública, editor de acceso abierto	
Alcalde	página de desambiguación de Wikimedia	
Universidad de Buenos Aires	universidad pública, editor de acceso abierto	
Ventanas	ciudad	
Éder Valencia	ser humano	
Fernando Jurado Noboa	ser humano	
Giancarlos Ramos	ser humano	
Carina Vance	ser humano	
Carlos Alberto García Charcopa	ser humano	
Carlos Amable Ortiz Merizalde	ser humano	
Carlos Freile Zaldumbide	ser humano	
Carlos Rubira Infante	ser humano	
Carlos R. Tobar	ser humano	
Ignacio de Veintemilla	ser humano	
Clodoveo Carrión Mora	ser humano	
Cynthia Viteri	ser humano	
Delfín Quishpe	ser humano	
Petter Villegas	ser humano	
Dolores Cacuango	ser humano	
Tránsito Amaguaña	ser humano	
Federico Malo Andrade	ser humano	
Francisco Guzmán	ser humano	
Gabriela Alemán	ser humano	
Trude Sojka	ser humano	
Nueva Loja	ciudad	
Oakland	sede de condado, ciudad de Estados Unidos, gran ciudad, Ciudad santuario, ciudad chárter	
Williams College	universidad de artes liberales, institución educativa privada sin fines de lucro	
ministro de salud	cargo	ministro
compositor de canciones	profesión musical	compositor, autor
Canciller del Ecuador	cargo	ministro de Relaciones Exteriores
Universidad de Londres	universidad, institución educativa universitaria, organización educativa, editor de acceso abierto	
parlamentario	cargo	legislador, afiliado, persona elegida
Cantón Guamote	cantón de Ecuador	
alcalde	cargo público, cargo elegido	alcalde, alto cargo
Cayambe	página de desambiguación de Wikimedia	
activista	ocupación, actitud ética	persona
activista político	ocupación	activista
