entidad,relacion,objeto,source_file
Olanchito,país,Honduras,honduras
Olanchito,instancia de,municipio de Honduras,honduras
Olanchito,situado en la entidad territorial administrativa,Departamento de Yoro,honduras
abogado,instancia de,profesión jurídica,honduras
abogado,subclase de,jurista,honduras
abogado,santo patrón,Catalina de Alejandría,honduras
abogado,santo patrón,Alfonso María de Ligorio,honduras
abogado,santo patrón,Raimundo de Peñafort,honduras
Erick Martínez Ávila,Ocupación,periodista,honduras
Erick Martínez Ávila,Ciudadanía,Honduras,honduras
Erick Martínez Ávila,Educado en,Universidad Nacional Autónoma de Honduras,honduras
Erick Martínez Ávila,Fecha de nacimiento,1980-01-18,honduras
Erick Martínez Ávila,Fecha de defunción,2012-05-07,honduras
Erick Martínez Ávila,Ocupación,activista LGBTI,honduras
Mary Flake de Flores,Lugar de nacimiento,Memphis,honduras
Mary Flake de Flores,Ocupación,político,honduras
Mary Flake de Flores,Ciudadanía,Estados Unidos,honduras
Mary Flake de Flores,Educado en,Universidad Estatal de Luisiana,honduras
Mary Flake de Flores,Cargo,Primera Dama de Honduras,honduras
Mary Flake de Flores,Premio recibido,Brassavola de oro,honduras
Mary Flake de Flores,Fecha de nacimiento,1950-09-25,honduras
Mary Flake de Flores,Ciudadanía,Honduras,honduras
Ernesto Noel Aquino,Lugar de nacimiento,La Ceiba,honduras
Ernesto Noel Aquino,Ocupación,entrenador,honduras
Ernesto Noel Aquino,Ciudadanía,Honduras,honduras
Ernesto Noel Aquino,Fecha de nacimiento,1975-10-16,honduras
Ernesto Noel Aquino,Ocupación,futbolista,honduras
Esdras Padilla,Lugar de nacimiento,Tegucigalpa,honduras
Esdras Padilla,Ocupación,entrenador,honduras
Esdras Padilla,Ciudadanía,Honduras,honduras
Esdras Padilla,Fecha de nacimiento,1989-09-04,honduras
Esdras Padilla,Ocupación,futbolista,honduras
Esteban Handal Perez,Ocupación,empresario,honduras
Esteban Handal Perez,Ciudadanía,Honduras,honduras
Esteban Handal Perez,Educado en,Universidad de Texas en Austin,honduras
Esteban Handal Perez,Cargo,diputado del Congreso Nacional de Honduras,honduras
Esteban Handal Perez,Fecha de nacimiento,1965-01-07,honduras
Esteban Handal Perez,Ocupación,político,honduras
Esteban Handal Perez,Educado en,Universidad Estatal de Luisiana,honduras
Fermin Galeano,Ocupación,actor,honduras
Fermin Galeano,Ciudadanía,Honduras,honduras
Fermin Galeano,Fecha de nacimiento,1975-11-07,honduras
Júnior Lacayo,Lugar de nacimiento,La Ceiba,honduras
Júnior Lacayo,Ocupación,entrenador,honduras
Júnior Lacayo,Ciudadanía,Honduras,honduras
Júnior Lacayo,Fecha de nacimiento,1995-08-19,honduras
Júnior Lacayo,Ocupación,futbolista,honduras
Francisco Antonio López,Lugar de nacimiento,Tela,honduras
Francisco Antonio López,Ocupación,futbolista,honduras
Francisco Antonio López,Ciudadanía,Honduras,honduras
Francisco Antonio López,Fecha de nacimiento,1989-10-03,honduras
Francisco Antonio Pavón,Lugar de nacimiento,La Ceiba,honduras
Francisco Antonio Pavón,Ocupación,futbolista,honduras
Francisco Antonio Pavón,Ciudadanía,Honduras,honduras
Francisco Antonio Pavón,Fecha de nacimiento,1977-01-28,honduras
Franco Güity,Lugar de nacimiento,Santa Rosa de Aguán,honduras
Franco Güity,Ocupación,futbolista,honduras
Franco Güity,Ciudadanía,Honduras,honduras
Franco Güity,Fecha de nacimiento,1987-12-05,honduras
Franklin Webster,Lugar de nacimiento,San Pedro Sula,honduras
Franklin Webster,Ocupación,futbolista,honduras
Franklin Webster,Ciudadanía,Honduras,honduras
Franklin Webster,Fecha de nacimiento,1978-08-07,honduras
Fredy Nasser,Lugar de nacimiento,Tegucigalpa,honduras
Fredy Nasser,Ocupación,empresario,honduras
Fredy Nasser,Ciudadanía,Honduras,honduras
Fredy Nasser,Educado en,Universidad de Texas A&M,honduras
Fredy Nasser,Fecha de nacimiento,1956-06-04,honduras
Félix Crisanto,Lugar de nacimiento,Brus Laguna,honduras
Félix Crisanto,Ocupación,futbolista,honduras
Félix Crisanto,Ciudadanía,Honduras,honduras
Félix Crisanto,Fecha de nacimiento,1990-09-09,honduras
Gabriela Núñez,Ocupación,político,honduras
Gabriela Núñez,Ciudadanía,Honduras,honduras
Gabriela Núñez,Educado en,Universidad Nacional Autónoma de Honduras,honduras
Gabriela Núñez,Fecha de nacimiento,1962-10-25,honduras
Georgino Orellana,Ocupación,periodista,honduras
Georgino Orellana,Ciudadanía,Honduras,honduras
Georgino Orellana,Fecha de nacimiento,1960-02-13,honduras
Georgino Orellana,Fecha de defunción,2010-04-20,honduras
Geovanny Castro,Lugar de nacimiento,Honduras,honduras
Geovanny Castro,Ocupación,entrenador,honduras
Geovanny Castro,Ciudadanía,Honduras,honduras
Geovanny Castro,Fecha de nacimiento,1969-06-24,honduras
Geovanny Castro,Ocupación,futbolista,honduras
Geovany Baca,Ocupación,boxeador,honduras
Geovany Baca,Ciudadanía,Honduras,honduras
Geovany Baca,Fecha de nacimiento,1971-03-05,honduras
Nahúm Espinoza,Lugar de nacimiento,Tela,honduras
Nahúm Espinoza,Ocupación,entrenador,honduras
Nahúm Espinoza,Ciudadanía,Honduras,honduras
Nahúm Espinoza,Fecha de nacimiento,1964-08-14,honduras
Nahúm Espinoza,Ocupación,futbolista,honduras
Gerson Rodas,Lugar de nacimiento,San Pedro Sula,honduras
Gerson Rodas,Ocupación,entrenador,honduras
Gerson Rodas,Ciudadanía,Honduras,honduras
Gerson Rodas,Fecha de nacimiento,1990-07-06,honduras
Gerson Rodas,Ocupación,futbolista,honduras
Sami Kafati,Lugar de nacimiento,Tegucigalpa,honduras
Sami Kafati,Ocupación,director de cine,honduras
Sami Kafati,Ciudadanía,Honduras,honduras
Sami Kafati,Fecha de nacimiento,1936-12-21,honduras
Sami Kafati,Fecha de defunción,1996-04-29,honduras
Universidad Nacional Autónoma de Honduras,país,Honduras,honduras
Universidad Nacional Autónoma de Honduras,instancia de,universidad,honduras
Universidad Nacional Autónoma de Honduras,fundador,José Trinidad Reyes,honduras
Universidad Nacional Autónoma de Honduras,situado en la entidad territorial administrativa,Tegucigalpa,honduras
Universidad Nacional Autónoma de Honduras,miembro de,Consejo Superior Universitario Centroamericano,honduras
Memphis,país,Estados Unidos,honduras
Memphis,instancia de,sede de condado,honduras
Memphis,instancia de,ciudad de Estados Unidos,honduras
Memphis,instancia de,gran ciudad,honduras
Estados Unidos,forma de gobierno,república,honduras
Estados Unidos,forma de gobierno,presidencialismo,honduras
Estados Unidos,forma de gobierno,república federal,honduras
Estados Unidos,nombrado en referencia a,América,honduras
Estados Unidos,subdividido en (división administrativa),California,honduras
Universidad Estatal de Luisiana,país,Estados Unidos,honduras
Universidad Estatal de Luisiana,instancia de,Universidad de concesión de tierras,honduras
Universidad Estatal de Luisiana,instancia de,universidad pública,honduras
Universidad Estatal de Luisiana,instancia de,universidad de investigación,honduras
Universidad Estatal de Luisiana,instancia de,institución educativa pública de los Estados Unidos,honduras
empresario,instancia de,profesión,honduras
empresario,instancia de,persona jurídica,honduras
empresario,instancia de,ocupación,honduras
empresario,instancia de,concepto económico,honduras
Universidad de Texas en Austin,país,Estados Unidos,honduras
Universidad de Texas en Austin,instancia de,institución educativa pública de los Estados Unidos,honduras
Universidad de Texas en Austin,instancia de,universidad pública de investigación,honduras
Universidad de Texas en Austin,situado en la entidad territorial administrativa,Austin,honduras
Universidad de Texas en Austin,ubicación de la sede,Austin,honduras
diputado del Congreso Nacional de Honduras,país,Honduras,honduras
diputado del Congreso Nacional de Honduras,instancia de,cargo,honduras
diputado del Congreso Nacional de Honduras,subclase de,parlamentario,honduras
diputado del Congreso Nacional de Honduras,forma parte de,Congreso Nacional de Honduras,honduras
diputado del Congreso Nacional de Honduras,categoría principal del tema,Categoría:Diputados de Honduras,honduras
Santa Rosa de Aguán,país,Honduras,honduras
Santa Rosa de Aguán,instancia de,municipio de Honduras,honduras
Santa Rosa de Aguán,situado en la entidad territorial administrativa,Departamento de Colón,honduras
Santa Rosa de Aguán,diferente de,Santa Rosa de Aguán,honduras
Universidad de Texas A&M,país,Estados Unidos,honduras
Universidad de Texas A&M,instancia de,universidad,honduras
Universidad de Texas A&M,instancia de,Universidad de concesión de tierras,honduras
Universidad de Texas A&M,instancia de,institución educativa pública de los Estados Unidos,honduras
Brus Laguna,país,Honduras,honduras
Brus Laguna,instancia de,municipio de Honduras,honduras
Brus Laguna,situado en la entidad territorial administrativa,Departamento de Gracias a Dios,honduras
Brus Laguna,diferente de,Brus Laguna,honduras
boxeador,instancia de,profesión,honduras
boxeador,subclase de,deportista,honduras
boxeador,subclase de,artista marcial,honduras
boxeador,ámbito de la ocupación,boxeo,honduras
boxeador,ámbito de la ocupación,boxeo aficionado,honduras
director de cine,instancia de,profesión,honduras
director de cine,instancia de,profesión del cine,honduras
director de cine,subclase de,artista visual,honduras
director de cine,subclase de,profesional del cine,honduras
director de cine,subclase de,realizador,honduras
Ramón Rosa,Lugar de nacimiento,Tegucigalpa,honduras
Ramón Rosa,Ocupación,abogado,honduras
Ramón Rosa,Ciudadanía,Honduras,honduras
Ramón Rosa,Educado en,Universidad de San Carlos de Guatemala,honduras
Ramón Rosa,Fecha de nacimiento,1848-07-14,honduras
Ramón Rosa,Fecha de defunción,1893-05-28,honduras
Ramón Rosa,Ocupación,poeta,honduras
Ramón Rosa,Ocupación,político,honduras
