entidad,relacion,objeto,source_file
ciclista,instancia de,profesión,colombia
ciclista,instancia de,deportista,colombia
ciclista,subclase de,ciclista,colombia
ciclista,ámbito de la ocupación,ciclismo de competición,colombia
España,jefe de gobierno,Pedro Sánchez,colombia
España,continente,Europa,colombia
España,instancia de,país,colombia
España,instancia de,Estado nación,colombia
España,instancia de,reino,colombia
Arboledas,país,Colombia,colombia
Arboledas,instancia de,municipio de Colombia,colombia
Arboledas,situado en la entidad territorial administrativa,Norte de Santander,colombia
sacerdote católico,instancia de,vocación católica,colombia
sacerdote católico,religión,catolicismo,colombia
sacerdote católico,religión,Iglesia católica,colombia
sacerdote católico,subclase de,sacerdote,colombia
sacerdote católico,subclase de,presbítero,colombia
Seminario Mayor de Bogotá,país,Colombia,colombia
Seminario Mayor de Bogotá,instancia de,institución académica,colombia
Seminario Mayor de Bogotá,instancia de,seminario católico,colombia
Seminario Mayor de Bogotá,situado en la entidad territorial administrativa,Bogotá,colombia
obispo auxiliar,instancia de,función episcopal,colombia
obispo auxiliar,instancia de,vocación católica,colombia
obispo auxiliar,religión,catolicismo,colombia
obispo auxiliar,subclase de,obispo,colombia
obispo auxiliar,subclase de,obispo católico,colombia
Antioquia,país,Colombia,colombia
Antioquia,instancia de,departamento de Colombia,colombia
Antioquia,capital,Medellín,colombia
Antioquia,idioma oficial,español,colombia
Antioquia,comparte fronteras con,Risaralda,colombia
Felipe González,Lugar de nacimiento,Sevilla,colombia
Felipe González,Ocupación,escritor,colombia
Felipe González,Ciudadanía,España,colombia
Felipe González,Educado en,Universidad de Lovaina,colombia
Felipe González,Miembro de,Fundación Alternativas,colombia
Felipe González,Cargo,Presidente del Gobierno de España,colombia
Felipe González,Premio recibido,Orden del Mérito de la República de Austria,colombia
Felipe González,Fecha de nacimiento,1942-03-05,colombia
Felipe González,Ocupación,empresario,colombia
Felipe González,Ocupación,político,colombia
Felipe González,Ocupación,jurista,colombia
Felipe González,Ocupación,profesor universitario,colombia
Felipe González,Ocupación,abogado laboralista,colombia
Felipe González,Premio recibido,Premio Carlomagno,colombia
Felipe González,Premio recibido,Orden de Cristo,colombia
Felipe González,Cargo,diputado de España,colombia
Felipe González,Cargo,secretario general del Partido Socialista Obrero Español,colombia
Íngrid Betancourt,Lugar de nacimiento,Bogotá,colombia
Íngrid Betancourt,Ocupación,político,colombia
Íngrid Betancourt,Ciudadanía,Francia,colombia
Íngrid Betancourt,Educado en,Instituto de Estudios Políticos de París,colombia
Íngrid Betancourt,Cargo,miembro de la Cámara de Representantes de Colombia,colombia
Íngrid Betancourt,Premio recibido,Premios TVyNovelas (México),colombia
Íngrid Betancourt,Fecha de nacimiento,1961-12-25,colombia
Íngrid Betancourt,Premio recibido,Petra-Kelly-Preis,colombia
Íngrid Betancourt,Premio recibido,Medalla Geuzen,colombia
Íngrid Betancourt,Premio recibido,Premio Princesa de Asturias de la Concordia,colombia
Íngrid Betancourt,Premio recibido,Caballero de la Orden Nacional de la Legión de Honor,colombia
Íngrid Betancourt,Premio recibido,Ciudadano Honorario de París,colombia
Íngrid Betancourt,Premio recibido,100 Mujeres de la BBC,colombia
Íngrid Betancourt,Premio recibido,doctor honoris causa por la Universidad de Montreal,colombia
Íngrid Betancourt,Premio recibido,Premios M100 Media,colombia
Íngrid Betancourt,Ciudadanía,Colombia,colombia
Íngrid Betancourt,Ciudadanía,Seychelles,colombia
Íngrid Betancourt,Educado en,Harris Manchester College,colombia
Íngrid Betancourt,Educado en,Liceo Francés de Bogotá,colombia
Íngrid Betancourt,Cargo,senador de Colombia,colombia
John Parra,Lugar de nacimiento,Bogotá,colombia
John Parra,Ocupación,ciclista,colombia
John Parra,Ciudadanía,Colombia,colombia
John Parra,Fecha de nacimiento,1974-11-09,colombia
Felipe González,Miembro de,Juventudes Socialistas de España,colombia
Felipe González,Premio recibido,Orden de Isabel la Católica,colombia
Felipe González,Premio recibido,Orden del Direkgunabhorn,colombia
Felipe González,Premio recibido,Orden del Halcón,colombia
Felipe González,Premio recibido,Orden El Sol del Perú,colombia
Felipe González,Premio recibido,Orden del Quetzal,colombia
Felipe González,Premio recibido,Orden Nacional José Martí,colombia
Felipe González,Premio recibido,Premio Point Alpha,colombia
Felipe González,Premio recibido,Hijo Predilecto de Andalucía,colombia
Felipe González,Premio recibido,Collar de la Orden de Isabel la Católica,colombia
Felipe González,Educado en,Universidad de Sevilla,colombia
Felipe González,Premio recibido,Gran Cruz de la Orden El Sol del Perú,colombia
Felipe González,Premio recibido,Gran Cruz del Mérito Militar con distintivo blanco,colombia
Felipe González,Premio recibido,Medalla de Oro de Madrid,colombia
Felipe González,Ciudadanía,Colombia,colombia
Felipe González,Educado en,Instituto San Isidoro,colombia
Felipe González,Ciudadanía,República Dominicana,colombia
Felipe González,Premio recibido,Gran Cruz de la Orden del Quetzal,colombia
Felipe González,Premio recibido,Gran Cruz de la Orden Militar de Cristo,colombia
Felipe González,Premio recibido,doctor honoris causa por la Universidad de Toulouse II,colombia
Felipe González,Premio recibido,The City of Athens Democracy Award,colombia
Alfredo Di Stéfano,Lugar de nacimiento,Buenos Aires,colombia
Alfredo Di Stéfano,Ocupación,entrenador,colombia
Alfredo Di Stéfano,Ciudadanía,Colombia,colombia
Alfredo Di Stéfano,Premio recibido,Gran Cruz de la Real Orden del Mérito Deportivo,colombia
Alfredo Di Stéfano,Fecha de nacimiento,1926-07-04,colombia
Alfredo Di Stéfano,Fecha de defunción,2014-07-07,colombia
Alfredo Di Stéfano,Ocupación,futbolista,colombia
Leiton Jiménez,Lugar de nacimiento,Chocó,colombia
Leiton Jiménez,Ocupación,futbolista,colombia
Leiton Jiménez,Ciudadanía,Colombia,colombia
Leiton Jiménez,Fecha de nacimiento,1989-04-26,colombia
Lupe Fuentes,Lugar de nacimiento,Santa Cruz de Tenerife,colombia
Lupe Fuentes,Ocupación,actor,colombia
Lupe Fuentes,Ciudadanía,España,colombia
Lupe Fuentes,Miembro de,The Ex-Girlfriends,colombia
Lupe Fuentes,Premio recibido,Fans of Adult Media and Entertainment Awards,colombia
Lupe Fuentes,Fecha de nacimiento,1987-01-27,colombia
Lupe Fuentes,Ocupación,disc-jockey,colombia
Lupe Fuentes,Ocupación,productor discográfico,colombia
Lupe Fuentes,Ocupación,actor pornográfico,colombia
Lupe Fuentes,Ocupación,modelo,colombia
Lupe Fuentes,Ciudadanía,Colombia,colombia
Edgar Rentería,Lugar de nacimiento,Barranquilla,colombia
Edgar Rentería,Ocupación,beisbolista,colombia
Edgar Rentería,Ciudadanía,Colombia,colombia
Edgar Rentería,Premio recibido,Guante de Oro,colombia
Edgar Rentería,Fecha de nacimiento,1975-08-07,colombia
Ricardo Londoño,Lugar de nacimiento,Medellín,colombia
Ricardo Londoño,Ocupación,ingeniero,colombia
Ricardo Londoño,Ciudadanía,Colombia,colombia
Ricardo Londoño,Fecha de nacimiento,1949-08-08,colombia
Ricardo Londoño,Fecha de defunción,2009-07-18,colombia
Ricardo Londoño,Ocupación,piloto de carreras,colombia
Ricardo Londoño,Ocupación,piloto de automovilismo,colombia
Ricardo Londoño,Ocupación,narcotraficante,colombia
Ricardo Londoño,Ocupación,piloto de Fórmula Uno,colombia
Juan Pablo Montoya,Lugar de nacimiento,Bogotá,colombia
Juan Pablo Montoya,Ocupación,piloto de automovilismo,colombia
Juan Pablo Montoya,Ciudadanía,Colombia,colombia
Juan Pablo Montoya,Premio recibido,NASCAR Rookie of the Year,colombia
Juan Pablo Montoya,Fecha de nacimiento,1975-09-20,colombia
Juan Pablo Montoya,Ocupación,piloto de Fórmula Uno,colombia
Juan Pablo Montoya,Premio recibido,Indianapolis 500 Rookie of the Year,colombia
Julián Rodas,Lugar de nacimiento,Pereira,colombia
Julián Rodas,Ocupación,ciclista,colombia
Julián Rodas,Ciudadanía,Colombia,colombia
Julián Rodas,Fecha de nacimiento,1982-01-02,colombia
José de Jesús Pimiento Rodriguez,Lugar de nacimiento,Zapatoca,colombia
José de Jesús Pimiento Rodriguez,Ocupación,sacerdote católico,colombia
José de Jesús Pimiento Rodriguez,Ciudadanía,Colombia,colombia
José de Jesús Pimiento Rodriguez,Educado en,Seminario Mayor de Bogotá,colombia
José de Jesús Pimiento Rodriguez,Cargo,cardenal,colombia
José de Jesús Pimiento Rodriguez,Premio recibido,Caballero Gran Cruz de la Orden del Santo Sepulcro,colombia
José de Jesús Pimiento Rodriguez,Fecha de nacimiento,1919-02-18,colombia
José de Jesús Pimiento Rodriguez,Fecha de defunción,2019-09-03,colombia
José de Jesús Pimiento Rodriguez,Ocupación,obispo católico,colombia
José de Jesús Pimiento Rodriguez,Cargo,obispo auxiliar,colombia
José de Jesús Pimiento Rodriguez,Cargo,obispo titular,colombia
José de Jesús Pimiento Rodriguez,Cargo,obispo diocesano,colombia
José de Jesús Pimiento Rodriguez,Cargo,arzobispo católico,colombia
Sara Tunes,Lugar de nacimiento,Medellín,colombia
Sara Tunes,Ocupación,compositor,colombia
Sara Tunes,Ciudadanía,Colombia,colombia
Sara Tunes,Fecha de nacimiento,1994-10-05,colombia
Sara Tunes,Ocupación,cantante,colombia
Luis Gabriel Romero Franco,Lugar de nacimiento,Bogotá,colombia
Luis Gabriel Romero Franco,Ocupación,sacerdote católico,colombia
Luis Gabriel Romero Franco,Ciudadanía,Colombia,colombia
Luis Gabriel Romero Franco,Cargo,obispo auxiliar,colombia
Luis Gabriel Romero Franco,Fecha de nacimiento,1935-03-01,colombia
Luis Gabriel Romero Franco,Ocupación,obispo católico,colombia
Luis Gabriel Romero Franco,Cargo,obispo titular,colombia
Luis Gabriel Romero Franco,Cargo,obispo diocesano,colombia
Álvaro Uribe Vélez,Lugar de nacimiento,Medellín,colombia
Álvaro Uribe Vélez,Ocupación,escritor,colombia
Álvaro Uribe Vélez,Ciudadanía,Colombia,colombia
Álvaro Uribe Vélez,Educado en,Universidad Harvard,colombia
Álvaro Uribe Vélez,Empleador,Universidad de Georgetown,colombia
Álvaro Uribe Vélez,Cargo,Presidente de Colombia,colombia
Álvaro Uribe Vélez,Premio recibido,Medalla Presidencial de la Libertad,colombia
Álvaro Uribe Vélez,Fecha de nacimiento,1952-07-04,colombia
Álvaro Uribe Vélez,Ocupación,abogado,colombia
Álvaro Uribe Vélez,Ocupación,político,colombia
Álvaro Uribe Vélez,Premio recibido,Premio Xavier Villaurrutia,colombia
Álvaro Uribe Vélez,Premio recibido,Collar de la Orden de Isabel la Católica,colombia
Álvaro Uribe Vélez,Premio recibido,Golden Plate Award,colombia
Álvaro Uribe Vélez,Premio recibido,doctorado honoris causa por la universidad de Beijing,colombia
Álvaro Uribe Vélez,Premio recibido,Medalla de la República Oriental del Uruguay,colombia
Álvaro Uribe Vélez,Educado en,Escuela de Derecho Harvard,colombia
Álvaro Uribe Vélez,Educado en,Universidad de Antioquia,colombia
