entidad,relacion,objeto
Ignacio Domeyko,Ciudadanía,Chile
Ignacio Domeyko,Educado en,Universidad de Vilna
Ignacio Domeyko,Empleador,Universidad de Chile
Ignacio Domeyko,Miembro de,Philomath Society
Ignacio Domeyko,Cargo,rector de la Universidad de Chile
Ignacio Domeyko,Fecha de nacimiento,1802-07-03
Ignacio Domeyko,Fecha de defunción,1889-01-23
Ignacio Domeyko,Ocupación,profesor universitario
Ignacio Domeyko,Ocupación,meteorólogo
Ignacio Domeyko,Ocupación,mineralogista
Ignacio Domeyko,Ocupación,ingeniero de minas
Ignacio Domeyko,Fecha de nacimiento,1802-07-31
Ignacio Domeyko,Ciudadanía,Zarato de Polonia (1815-1915)
Ignacio Domeyko,Educado en,Escuela superior de minas de París
Ignacio Domeyko,Educado en,Imperial University of Vilna
Ignacio Domeyko,Educado en,The Piarist Fathers College in Szczuczyn
Ignacio Domeyko,Miembro de,Poznań Society of Friends of Learning
Jorge Alvarado,Lugar de nacimiento,Puerto Montt
Jorge Alvarado,Ocupación,entrenador
Jorge Alvarado,Ciudadanía,Chile
Jorge Alvarado,Fecha de nacimiento,1980-02-22
Jorge Alvarado,Ocupación,futbolista
Rafael Tarud Siwady,Lugar de nacimiento,Talca
Rafael Tarud Siwady,Ocupación,abogado
Rafael Tarud Siwady,Ciudadanía,Chile
Rafael Tarud Siwady,Educado en,Universidad de Chile
Rafael Tarud Siwady,Cargo,senador de Chile
Rafael Tarud Siwady,Fecha de nacimiento,1918-04-30
Rafael Tarud Siwady,Fecha de defunción,2009-05-02
Rafael Tarud Siwady,Ocupación,político
Rafael Tarud Siwady,Ocupación,diplomático
Clotario Blest,Lugar de nacimiento,Santiago de Chile
Clotario Blest,Ocupación,activista por los derechos humanos
Clotario Blest,Ciudadanía,Chile
Clotario Blest,Educado en,Universidad de Chile
Clotario Blest,Fecha de nacimiento,1899-11-17
Clotario Blest,Fecha de defunción,1990-05-31
Clotario Blest,Ocupación,sindicalista
Héctor Mancilla,Lugar de nacimiento,Purranque
Héctor Mancilla,Ocupación,futbolista
Héctor Mancilla,Ciudadanía,Chile
Héctor Mancilla,Fecha de nacimiento,1980-11-12
Milovan Mirosevic,Lugar de nacimiento,Santiago de Chile
Milovan Mirosevic,Ocupación,futbolista
Milovan Mirosevic,Ciudadanía,Chile
Milovan Mirosevic,Educado en,Saint Gabriel's School
Milovan Mirosevic,Fecha de nacimiento,1980-06-20
Ximena Abarca,Lugar de nacimiento,Santiago de Chile
Ximena Abarca,Ocupación,actor
Ximena Abarca,Ciudadanía,Chile
Ximena Abarca,Miembro de,Ruch
Ximena Abarca,Fecha de nacimiento,1981-09-24
Ximena Abarca,Ocupación,cantante
Ángel Parra,Ocupación,escritor
Ángel Parra,Ciudadanía,Francia
Ángel Parra,Premio recibido,Premio a la Música Nacional Presidente de la República
Ángel Parra,Ocupación,cantante
Andrés Bello,Ocupación,traductor
Andrés Bello,Ocupación,educador
Andrés Bello,Ocupación,legislador
Andrés Bello,Ocupación,filósofo
Andrés Bello,Ocupación,filólogo
Andrés Bello,Ciudadanía,Venezuela
Andrés Bello,Empleador,El Araucano
José Donoso,Educado en,Universidad de Princeton
José Donoso,Premio recibido,Premio Nacional de Literatura
José Donoso,Premio recibido,Beca Guggenheim
Roberto Matta,Premio recibido,Medalla de Oro al Mérito en las Bellas Artes
Roberto Matta,Ciudadanía,Francia
Roberto Matta,Premio recibido,Praemium Imperiale
Roberto Matta,Premio recibido,Premio Princesa de Asturias de las Artes
Carlos Keller,Lugar de nacimiento,Concepción
Carlos Keller,Ocupación,economista
Carlos Keller,Ciudadanía,Chile
Carlos Keller,Empleador,Academia Politécnica Militar
Carlos Keller,Obra notable,La eterna crisis chilena
Carlos Keller,Miembro de,Academia Chilena de la Historia
Carlos Keller,Premio recibido,Premio Atenea
Carlos Keller,Fecha de nacimiento,1898-01-03
Carlos Keller,Fecha de defunción,1974-02-28
Carlos Keller,Ocupación,sociólogo
Carlos Keller,Ocupación,académico
Carlos Keller,Ocupación,filósofo
Carlos Keller,Ocupación,ensayista
Abelardo Bustamante,Lugar de nacimiento,Santiago de Chile
Abelardo Bustamante,Ocupación,pintor
Abelardo Bustamante,Ciudadanía,Chile
Abelardo Bustamante,Miembro de,Generación del 13
Abelardo Bustamante,Fecha de nacimiento,1888-01-01
Abelardo Bustamante,Fecha de defunción,1934-01-01
Abelardo Bustamante,Ocupación,escultor
Manuel Trucco,Lugar de nacimiento,Cauquenes
Manuel Trucco,Ocupación,político
Manuel Trucco,Ciudadanía,Chile
Manuel Trucco,Educado en,Universidad de Chile
Manuel Trucco,Cargo,embajador
Manuel Trucco,Fecha de nacimiento,1875-03-18
Manuel Trucco,Fecha de defunción,1954-10-25
