entidad,relacion,objeto
Alberto Barton,Lugar de nacimiento,Buenos Aires
Alberto Barton,Ocupación,médico
Alberto Barton,Ciudadanía,Argentina
Alberto Barton,Educado en,Universidad Nacional Mayor de San Marcos
Alberto Barton,Empleador,Universidad Nacional Mayor de San Marcos
Alberto Barton,Fecha de nacimiento,1870-07-18
Alberto Barton,Fecha de defunción,1950-10-25
Alberto Barton,Ocupación,microbiólogo
Alberto Barton,Ciudadanía,Perú
Hildebrando Castro Pozo,Lugar de nacimiento,Ayabaca
Hildebrando Castro Pozo,Ocupación,profesor
Hildebrando Castro Pozo,Ciudadanía,Perú
Hildebrando Castro Pozo,Educado en,Universidad Nacional Mayor de San Marcos
Hildebrando Castro Pozo,Fecha de nacimiento,1890-01-01
Hildebrando Castro Pozo,Fecha de defunción,1945-01-01
Hildebrando Castro Pozo,Ocupación,político
Hildebrando Castro Pozo,Ocupación,sociólogo
Alberto Borea,Lugar de nacimiento,Lima
Alberto Borea,Ocupación,escritor
Alberto Borea,Ciudadanía,Perú
Alberto Borea,Educado en,Pontificia Universidad Católica del Perú
Alberto Borea,Miembro de,Comisión de Estudio de las Bases de la Reforma Constitucional del Perú
Alberto Borea,Cargo,embajador
Alberto Borea,Fecha de nacimiento,1951-12-01
Alberto Borea,Ocupación,abogado
Alberto Borea,Ocupación,político
Alberto Borea,Ocupación,diplomático
Alberto Borea,Cargo,diputado de Perú
Alberto Borea,Cargo,senador de Perú
José Gálvez Egúsquiza,Lugar de nacimiento,Departamento de Cajamarca
José Gálvez Egúsquiza,Ocupación,abogado
José Gálvez Egúsquiza,Ciudadanía,Perú
José Gálvez Egúsquiza,Educado en,Universidad Nacional Mayor de San Marcos
José Gálvez Egúsquiza,Cargo,diputado de Perú
José Gálvez Egúsquiza,Fecha de nacimiento,1819-03-17
José Gálvez Egúsquiza,Fecha de defunción,1866-05-02
José Gálvez Egúsquiza,Ocupación,militar
José Gálvez Egúsquiza,Ocupación,político
Antonio Brack Egg,Lugar de nacimiento,Distrito de Villa Rica
Antonio Brack Egg,Ocupación,escritor
Antonio Brack Egg,Ciudadanía,Perú
Antonio Brack Egg,Educado en,Universidad de Wurzburgo
Antonio Brack Egg,Empleador,Universidad Nacional Agraria La Molina
Antonio Brack Egg,Cargo,Ministro del Ambiente del Perú
Antonio Brack Egg,Premio recibido,Beca Guggenheim
Antonio Brack Egg,Fecha de nacimiento,1940-06-03
Antonio Brack Egg,Fecha de defunción,2014-12-30
Antonio Brack Egg,Ocupación,ingeniero
Antonio Brack Egg,Ocupación,político
Antonio Brack Egg,Ocupación,biólogo
Antonio Brack Egg,Ocupación,presentador de televisión
Antonio Brack Egg,Ocupación,profesor universitario
Antonio Brack Egg,Premio recibido,Premio Esteban Campodónico
John Hinostroza,Lugar de nacimiento,Lima
John Hinostroza,Ocupación,entrenador
John Hinostroza,Ciudadanía,Perú
John Hinostroza,Fecha de nacimiento,1980-02-22
John Hinostroza,Ocupación,futbolista
Nixa,Lugar de nacimiento,Distrito de San José
Nixa,Ocupación,escritor
Nixa,Ciudadanía,Perú
Nixa,Fecha de nacimiento,1902-09-16
Nixa,Fecha de defunción,2009-03-15
Nixa,Ocupación,poeta
Nixa,Ocupación,periodista
Marcio Valverde,Lugar de nacimiento,Lima
Marcio Valverde,Ocupación,entrenador
Marcio Valverde,Ciudadanía,Perú
Marcio Valverde,Fecha de nacimiento,1987-10-23
Marcio Valverde,Ocupación,futbolista
Manfred Oettl Reyes,Lugar de nacimiento,Múnich
